label,term,cluster,total_count,top_gif_url,top_gif_preview,top_gif_title
Gaza,gaza,conflict,500,https://media1.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5M3Yxa296eXF3cHoyYmU0N3R5b3Q5em4zMXg4cWppdTAzZjN4MDZmaSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/lzlaLAhc4KhsuCt6fy/200w.gif,https://media1.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5M3Yxa296eXF3cHoyYmU0N3R5b3Q5em4zMXg4cWppdTAzZjN4MDZmaSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/lzlaLAhc4KhsuCt6fy/200w_s.gif,War Israel GIF by The Guardian
War,war,conflict,500,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5ZGw3ejR4cmRxdWkzNTd3bHpvMmUzdDM2NG8zZW85Y3pvNmhoNXRpZiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/2z6x8UzzCdBBu/200w.gif,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5ZGw3ejR4cmRxdWkzNTd3bHpvMmUzdDM2NG8zZW85Y3pvNmhoNXRpZiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/2z6x8UzzCdBBu/200w_s.gif,war GIF
Protest,protest,conflict,500,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5dDF5ZWg4eW5qZWo0Z205ZXN5cDNqbGRwc2Y1bDVxbzdqbzNhczlvcCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/ZMf8ngW0f8xaij3eai/200w.gif,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5dDF5ZWg4eW5qZWo0Z205ZXN5cDNqbGRwc2Y1bDVxbzdqbzNhczlvcCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/ZMf8ngW0f8xaij3eai/200w_s.gif,Organize Human Rights GIF by Creative Courage
Ceasefire,ceasefire,conflict,180,https://media0.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5M3B1ZTl3amltejg2aWdkNHd0bnlmNDRrZWhhMnJ2aHk2ZTV2ZDNzYyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/JayzHUJ7Cw2jiVajoz/200w.gif,https://media0.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5M3B1ZTl3amltejg2aWdkNHd0bnlmNDRrZWhhMnJ2aHk2ZTV2ZDNzYyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/JayzHUJ7Cw2jiVajoz/200w_s.gif,Freedom Palestine GIF
Refugee,refugee,conflict,500,https://media1.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5ODcycDdiMjBncXg1NW94MW5raHJzMDN3dTJlZHJsYTF1aXR4dnl6bSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/N6mg8LlMXDx5e/200w.gif,https://media1.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5ODcycDdiMjBncXg1NW94MW5raHJzMDN3dTJlZHJsYTF1aXR4dnl6bSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/N6mg8LlMXDx5e/200w_s.gif,syrian refugees news GIF
TikTok,tiktok,platform,500,https://media1.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5eDJkc3psZzFncXBrYnowaTlhaXI5bDI5cXk2bXo0MW90Y2I3MDk2bSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/43wR1f8QU9KApWKjYt/200w.gif,https://media1.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5eDJkc3psZzFncXBrYnowaTlhaXI5bDI5cXk2bXo0MW90Y2I3MDk2bSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/43wR1f8QU9KApWKjYt/200w_s.gif,Stantwitter Please GIF
Instagram,instagram,platform,500,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5bzNnaWIydXNhcHg1cG0yYnhyZnhkZTFjNzV5MWdqdG8xaDk3dTVtZiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/siDt3kPh2btNhpWAq1/200w.gif,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5bzNnaWIydXNhcHg1cG0yYnhyZnhkZTFjNzV5MWdqdG8xaDk3dTVtZiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/siDt3kPh2btNhpWAq1/200w_s.gif,Charlie Kirk Instagram GIF
YouTube,youtube,platform,500,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5YXM2MXo5Y3AxdDQ4NWp6cGg3cTdsd2Zwd2wzZzVyN3ZnMDhsOTF3YiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/TytHun5lKuMdzUYVxl/200w.gif,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5YXM2MXo5Y3AxdDQ4NWp6cGg3cTdsd2Zwd2wzZzVyN3ZnMDhsOTF3YiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/TytHun5lKuMdzUYVxl/200w_s.gif,Youtube Subscribe GIF by Alexander White
Twitter,twitter,platform,500,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5ZXFvMmkybmowdWxjaWV4cmdjcGxmbzcwcnVzcWgyYzZ3YXFqcGU4ciZlcD12MV9naWZzX3NlYXJjaCZjdD1n/epg6OTkQ8Gn1S/200w.gif,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5ZXFvMmkybmowdWxjaWV4cmdjcGxmbzcwcnVzcWgyYzZ3YXFqcGU4ciZlcD12MV9naWZzX3NlYXJjaCZjdD1n/epg6OTkQ8Gn1S/200w_s.gif,twitter relax GIF
Social Media,social media,platform,500,https://media1.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5dnhtazYxcWFld2lia2dpZmdraHI3NnJoOGZmM3FtNDllcHc1cngxOCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/MZPAI5zR9B1YJoz9Jw/200w.gif,https://media1.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5dnhtazYxcWFld2lia2dpZmdraHI3NnJoOGZmM3FtNDllcHc1cngxOCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/MZPAI5zR9B1YJoz9Jw/200w_s.gif,
Going Viral,going viral,platform,184,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5dXh5endhMmlkYTVhdDk0ZzJic2UyeHR6cXZvc2E1b2dnNzZ5MGIyMyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/t9S2GSxl81xZDMsGEv/200w.gif,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5dXh5endhMmlkYTVhdDk0ZzJic2UyeHR6cXZvc2E1b2dnNzZ5MGIyMyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/t9S2GSxl81xZDMsGEv/200w_s.gif,In A Corner Go Sit Down GIF
Scrolling,scroll,platform,500,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5c3pvNnh4bno4NHkxMmRtM2RiNGZsb3l3bjZ2bDN2N2UzcjJueWNodSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/4xWGyVKoXqg2eVCiq9/200w.gif,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5c3pvNnh4bno4NHkxMmRtM2RiNGZsb3l3bjZ2bDN2N2UzcjJueWNodSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/4xWGyVKoXqg2eVCiq9/200w_s.gif,Tell Me More To Do List GIF by Disney Channel
Fake News,fake news,information,500,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5aTY4NmIxZ2lqN2loY2Y3aGN6bnRheHR0bWRuZGw3amVzcWFlZDBrdSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/O2j3S8bUUWNVDahHz7/200w.gif,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5aTY4NmIxZ2lqN2loY2Y3aGN6bnRheHR0bWRuZGw3amVzcWFlZDBrdSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/O2j3S8bUUWNVDahHz7/200w_s.gif,News Trump GIF
Misinformation,misinformation,information,452,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5OWszc25pYmxscjM2N2l5YXBsZXNzMWptcmlwejF6NmVzZzViY3Q0ZCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/7PxuiRgTZG9H1B1vW7/200w.gif,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5OWszc25pYmxscjM2N2l5YXBsZXNzMWptcmlwejF6NmVzZzViY3Q0ZCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/7PxuiRgTZG9H1B1vW7/200w_s.gif,Liar Lying GIF
Deepfake,deepfake,information,145,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5aXNrZ2MwNjdmeG9nanZ0ZHc3ZW03M3E0b3R1N3E5Y2NucGRkamVhNCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/31UJn87m2S7r6Nnec8/200w.gif,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5aXNrZ2MwNjdmeG9nanZ0ZHc3ZW03M3E0b3R1N3E5Y2NucGRkamVhNCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/31UJn87m2S7r6Nnec8/200w_s.gif,girlfriend you love it GIF
Propaganda,propaganda,information,471,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5N29mOHp3NGN0eTY1Mms3cDJpbmE0ZnN6NHZpOGMzNXllem8yNWUxNyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/VeT8YIhHBSCKovzmES/200w.gif,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5N29mOHp3NGN0eTY1Mms3cDJpbmE0ZnN6NHZpOGMzNXllem8yNWUxNyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/VeT8YIhHBSCKovzmES/200w_s.gif,Art Conform GIF by Ek dojo
Fact Check,fact check,information,387,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5NTVoNDM0a2lmdno4Nzd2anRyOTFlcGQ4Nm9ib3FjMXEyamkyMmRobSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/YVT4w8N5O7qSiftMNq/200w.gif,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5NTVoNDM0a2lmdno4Nzd2anRyOTFlcGQ4Nm9ib3FjMXEyamkyMmRobSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/YVT4w8N5O7qSiftMNq/200w_s.gif,Truth GIF
AI,artificial intelligence,technology,500,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5bW85MmdnNGVzZjVyazY2MTgxdXlua3B4ZW5xNHJ5c3A1bXBsMm5hdyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/CVtNe84hhYF9u/200w.gif,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5bW85MmdnNGVzZjVyazY2MTgxdXlua3B4ZW5xNHJ5c3A1bXBsMm5hdyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/CVtNe84hhYF9u/200w_s.gif,artificial intelligence futurism GIF
ChatGPT,chatgpt,technology,500,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5czF3bGZsbWp2Z3dqYTFjc3hmNmcyZjhldXp4Y2RwazRrbGtiaWVwcCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/0lGd2OXXHe4tFhb7Wh/200w.gif,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5czF3bGZsbWp2Z3dqYTFjc3hmNmcyZjhldXp4Y2RwazRrbGtiaWVwcCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/0lGd2OXXHe4tFhb7Wh/200w_s.gif,GIF by Pudgy Penguins
Robot,robot,technology,500,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5dmxwaGltdnpvamdsenYyNG1vd2Q2djl2YmM5aHlzaGdrNmFlNHYwbiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/tczJoRU7XwBS8/200w.gif,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5dmxwaGltdnpvamdsenYyNG1vd2Q2djl2YmM5aHlzaGdrNmFlNHYwbiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/tczJoRU7XwBS8/200w_s.gif,Artificial Intelligence Dancing GIF
Surveillance,surveillance,technology,464,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5cmRkMnI4OXBuMGE5aTAxbzd5eWZrOG10dDBqYTFjNTB5N3NxM2IxZyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/l0HUbESbGqYn8kNlC/200w.gif,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5cmRkMnI4OXBuMGE5aTAxbzd5eWZrOG10dDBqYTFjNTB5N3NxM2IxZyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/l0HUbESbGqYn8kNlC/200w_s.gif,control room spy GIF by trainline
Trump,donald trump,politics,500,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5dmpyOHYyZjU5YTdzemhkbjY4NjQ0ZjI1bzZ6MjB1OWxlMWpiY3ptMCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/fRtK3t3i67tRK4dfez/200w.gif,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5dmpyOHYyZjU5YTdzemhkbjY4NjQ0ZjI1bzZ6MjB1OWxlMWpiY3ptMCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/fRtK3t3i67tRK4dfez/200w_s.gif,Donald Trump GIF by Backhaus Verlag
Election,election,politics,500,https://media0.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5MXR1aW5qM3Rwb3R1a2ZjeHgxZzRnZml2cXp5OHJoYzNla3lrOWtyMSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/0UdYdLYyYBv7auWkdA/200w.gif,https://media0.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5MXR1aW5qM3Rwb3R1a2ZjeHgxZzRnZml2cXp5OHJoYzNla3lrOWtyMSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/0UdYdLYyYBv7auWkdA/200w_s.gif,On My Mind Election GIF
Democracy,democracy,politics,500,https://media0.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5MTNrbHBkMWJ3M2w2ZHN3cXNleWd6M252azdwdzV0b202NGU3ZDdqYyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/ucXFcY1FdKaT6/200w.gif,https://media0.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5MTNrbHBkMWJ3M2w2ZHN3cXNleWd6M252azdwdzV0b202NGU3ZDdqYyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/ucXFcY1FdKaT6/200w_s.gif,democracy GIF
Censorship,censorship,politics,219,https://media0.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5ZzlqMTFlZHNvOXVzZGhwZW00a3FsM3g4aG84ZmQ2NDJvbTE1ZTUxeSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/XP95CPLn7dkVMlXXF5/200w.gif,https://media0.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5ZzlqMTFlZHNvOXVzZGhwZW00a3FsM3g4aG84ZmQ2NDJvbTE1ZTUxeSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/XP95CPLn7dkVMlXXF5/200w_s.gif,Box Block GIF by Pixel Parade App
Taylor Swift,taylor swift,culture,500,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5aGhhbGk2cDE2MWEwcDNvb2J3MHRkZjRtamxiNzE2cjFpbmdkcmZpdCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3ohBVbUzyTH3sWw1eU/200w.gif,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5aGhhbGk2cDE2MWEwcDNvb2J3MHRkZjRtamxiNzE2cjFpbmdkcmZpdCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3ohBVbUzyTH3sWw1eU/200w_s.gif,Taylor Swift Love GIF
Celebrity,celebrity,culture,500,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5eHNwZXNhemZzZmhpbzdqcm1xd3Q3cjVsNmU5dDA1N3Q3cmIzM2V4ZyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/10MGhMGr4WCiVW/200w.gif,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5eHNwZXNhemZzZmhpbzdqcm1xd3Q3cjVsNmU5dDA1N3Q3cmIzM2V4ZyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/10MGhMGr4WCiVW/200w_s.gif,celebrity behavior GIF
Influencer,influencer,culture,500,https://media0.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5aWV4Y3I1ZW12emYyZWw0d3k5NGNoeXh5czgwc25wMDJqcDBqNjE0MiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/duIJQ3HOfw1kYrrzi5/200w.gif,https://media0.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5aWV4Y3I1ZW12emYyZWw0d3k5NGNoeXh5czgwc25wMDJqcDBqNjE0MiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/duIJQ3HOfw1kYrrzi5/200w_s.gif,Influencer Reels GIF by The She Brief
Attention,attention,culture,500,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5b2tlMWFpeGl0dmYzbWRxcGJ6cW0ybGFrOWtzam1yMTFiNG45aXJ3biZlcD12MV9naWZzX3NlYXJjaCZjdD1n/cYaBD8kxE4PZudHBRA/200w.gif,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5b2tlMWFpeGl0dmYzbWRxcGJ6cW0ybGFrOWtzam1yMTFiNG45aXJ3biZlcD12MV9naWZzX3NlYXJjaCZjdD1n/cYaBD8kxE4PZudHBRA/200w_s.gif,Tv Show News GIF by CBBC
Boredom,boredom,culture,500,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5dHR0ejlucWIzbW1zNTd2OXNwZjIwenpsNmFmNGlpNmc2ZW15NXJhcCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/h41uUhjop8NJCI7CQX/200w.gif,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5dHR0ejlucWIzbW1zNTd2OXNwZjIwenpsNmFmNGlpNmc2ZW15NXJhcCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/h41uUhjop8NJCI7CQX/200w_s.gif,Im So Bored GIF
Climate Change,climate change,climate,500,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5YmdlOG96emN1YnpjeHAzenpleTltZnRqaXAyOWF1MWdrMHBlcXByaiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/mf8UbIDew7e8g/200w.gif,https://media3.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5YmdlOG96emN1YnpjeHAzenpleTltZnRqaXAyOWF1MWdrMHBlcXByaiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/mf8UbIDew7e8g/200w_s.gif,Climate Change Earth GIF
Flood,flood,climate,500,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5NjNwcHFqZmRqYnJ1c3BxNXUwMnRkNWx5cmJoajNvaXFlc2Zlam9iYiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/9TbgGqK1KhpnNORo9a/200w.gif,https://media4.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5NjNwcHFqZmRqYnJ1c3BxNXUwMnRkNWx5cmJoajNvaXFlc2Zlam9iYiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/9TbgGqK1KhpnNORo9a/200w_s.gif,Water Fail GIF
Wildfire,wildfire,climate,335,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5NXI4NGJ6NzJzdWU4aHgwODRmZm1hZWE0dWJpcTZvcDJrNzJhdGJjYyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/Wp7FNB13QfqEGpB00a/200w.gif,https://media2.giphy.com/media/v1.Y2lkPWM3ZTdiNzM5NXI4NGJ6NzJzdWU4aHgwODRmZm1hZWE0dWJpcTZvcDJrNzJhdGJjYyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/Wp7FNB13QfqEGpB00a/200w_s.gif,
